,spearman,spearmanp,perturbation,index,network,p,threshold_number,pruning,spearman_mean_across_methods,spearman_improvement,noPredictionMade,somePredictionRefused
0,0.23908273661054535,3.709844237059859e-35,ALX3,0,encodeDNase,0.001,2000,harsh,0.23907840286765772,4.33374288763555e-06,False,False
1,0.18947194279095236,1.8340266051135574e-22,ALX4,0,encodeDNase,0.001,2000,harsh,0.1894732150271521,-1.2722361997230536e-06,False,False
2,0.20257419324348272,1.650616300505465e-25,AR,0,encodeDNase,0.001,2000,harsh,0.2025888303378782,-1.4637094395475447e-05,False,False
3,0.18961173195429626,1.7062661123894198e-22,ARNT2,0,encodeDNase,0.001,2000,harsh,0.1896373998321614,-2.566787786514868e-05,False,False
4,0.24672404360605651,2.1267416758936497e-37,ASCL1,0,encodeDNase,0.001,2000,harsh,0.24672579607977488,-1.752473718363845e-06,False,False
5,0.1579061315367701,5.347693199840389e-16,ATF1,0,encodeDNase,0.001,2000,harsh,0.15885625087793323,-0.0009501193411631248,False,False
6,0.1985890614027029,1.4686262610520033e-24,ATF2,0,encodeDNase,0.001,2000,harsh,0.1986464489022094,-5.738749950648381e-05,False,False
7,0.1452510757436558,9.576516140267643e-14,ATF3,0,encodeDNase,0.001,2000,harsh,0.14446955411856902,0.0007815216250867951,False,False
8,0.27482947736286933,2.4894486700279284e-46,ATOH1,0,encodeDNase,0.001,2000,harsh,0.27482730221150764,2.1751513616941054e-06,False,False
9,0.12190179494772911,4.3847673138456875e-10,BACH1,0,encodeDNase,0.001,2000,harsh,0.12184754389923617,5.425104849293705e-05,False,False
10,0.1416688900234609,3.840450114869361e-13,BARHL2,0,encodeDNase,0.001,2000,harsh,0.14167020917300685,-1.3191495459585756e-06,False,False
11,0.20146874607693693,3.0407478811184554e-25,BCL6,0,encodeDNase,0.001,2000,harsh,0.20149859333470496,-2.9847257768028657e-05,False,False
12,0.1599315631875267,2.237549481706158e-16,BHLHE40,0,encodeDNase,0.001,2000,harsh,0.15970736931681187,0.00022419387071481722,False,False
13,0.2533938950070923,2.025668760299798e-39,CDX2,0,encodeDNase,0.001,2000,harsh,0.25339189955685393,1.995450238378993e-06,False,False
14,0.295364900719999,1.4646572169814489e-53,CEBPA,0,encodeDNase,0.001,2000,harsh,0.2953211201160439,4.3780603955101416e-05,False,False
