"","perturbation","prediction_timescale","matching_method","lit_review","GM","ME","is_outlier"
"101","Myb",10,"random","GM & ME, stemness",924.021979093425,73.5963865948251,TRUE
"102","Myb",10,"steady_state","GM & ME, stemness",-1045.79953018498,362.805332024439,TRUE
"103","Myb",10,"user","GM & ME, stemness",-34360.8810205494,-824.401422814407,TRUE
"104","Myc",10,"closest","GM & ME, stemness",750.337705805997,-1099.53013618867,TRUE
"105","Myc",10,"optimal_transport","GM & ME, stemness",2545.54548349718,-1053.69706411362,TRUE
"106","Myc",10,"random","GM & ME, stemness",1404.82978147532,-201.608774978359,TRUE
"107","Myc",10,"steady_state","GM & ME, stemness",-75552.2730675404,-1237.39082582143,TRUE
"108","Myc",10,"user","GM & ME, stemness",-36733.8695620679,-1313.00852690862,TRUE
"109","Mycn",10,"optimal_transport","No known role",0,-200.87377461744,TRUE
"110","Nfatc1",10,"closest","Not reviewed",1357.02962914298,-208.016751683645,TRUE
"111","Nfatc1",10,"optimal_transport","Not reviewed",0,3.05210453486292e-13,TRUE
"112","Nfatc1",10,"steady_state","Not reviewed",-3286.04219104826,0,TRUE
"113","Nfatc1",10,"user","Not reviewed",-36083.5623021883,-378.335126723958,TRUE
"114","Nfatc2",10,"optimal_transport","No known role",-6.32305069964595e-13,0,TRUE
"115","Nfatc2",10,"steady_state","No known role",-410.186292537721,0,TRUE
"116","Nfatc2",10,"user","No known role",873.559708483529,-386.069557008144,TRUE
"117","Nr4a1",10,"closest","Not reviewed",-2.16548613984083e-12,0,TRUE
"118","Pou2f2",10,"closest","Not reviewed",1357.02962914298,0,TRUE
"119","Pou2f2",10,"optimal_transport","Not reviewed",3.28011657675375e-13,0,TRUE
"120","Pou2f2",10,"random","Not reviewed",-4.33097227968167e-12,0,TRUE
"121","Pou2f2",10,"steady_state","Not reviewed",861.934263087095,0,TRUE
"122","Pou2f2",10,"user","Not reviewed",-32676.1177973627,-386.069557008144,TRUE
"123","Prdm16",10,"closest","Not reviewed",-2.16548613984083e-12,0,TRUE
"124","Prdm16",10,"user","Not reviewed",873.559708483519,-378.335126723957,TRUE
"125","Prdm5",10,"random","No known role",6.21018376389073e-13,-7.59510080088683e-13,TRUE
"126","Prdm5",10,"steady_state","No known role",0,156.83343483431,TRUE
"127","Prdm5",10,"user","No known role",873.559708483519,-3.05210453486292e-13,TRUE
"128","Rara",10,"closest","GM & ME, stemness",-8.53113063633336e-11,0,TRUE
"129","Rara",10,"steady_state","GM & ME, stemness",1357.02962914298,0,TRUE
"130","Rarg",10,"steady_state","Not reviewed",0,156.83343483431,TRUE
"131","Rel",10,"closest","GM & ME, stemness",-8.74767925031745e-11,0,TRUE
"132","Rel",10,"optimal_transport","GM & ME, stemness",-6.32305069964595e-13,0,TRUE
"133","Rel",10,"steady_state","GM & ME, stemness",-410.186292537721,0,TRUE
"134","Rel",10,"user","GM & ME, stemness",873.559708483519,0,TRUE
"135","Relb",10,"optimal_transport","Not reviewed",-6.32305069964595e-13,0,TRUE
"136","Sox4",10,"closest","No known role",-2.49349779751621e-12,0,TRUE
"137","Sox4",10,"random","No known role",-4.33097227968167e-12,0,TRUE
"138","Sox4",10,"steady_state","No known role",946.843336605249,0,TRUE
"139","Sox4",10,"user","No known role",-4232.88552765351,-386.069557008144,TRUE
