,pruning,threshold_number,spearman,cell_fate_correct,spearman_se,cell_fate_correct_se
0,some,20000,0.18358284194043678,0.1437125748502994,0.006141875239380318,0.027227208959275044
1,some,169144,0.21429493259528928,0.16167664670658682,0.00806708288054989,0.028574285834322585
2,some,1430478,0.2609559567388898,0.1497005988023952,0.010748622657182032,0.027691320192065872
3,some,12097804,0.2616890269756907,0.1497005988023952,0.010789863630415515,0.027691320192065872
4,some,102313295,0.2616890269756907,0.1497005988023952,0.010789863630415515,0.027691320192065872
