,spearman,spearmanp,cell_fate_correct,perturbation,index,network,p,threshold_number,pruning,somePredictionRefused
63,0.09267608231259958,2.1773957831585952e-06,0.0,FOXH1,0,dense,0.001,2000,harsh,True
64,0.0,1.0,,FOXL2,0,dense,0.001,2000,harsh,True
65,0.2507577035149573,1.2960872024359498e-38,1.0,FOXM1,0,dense,0.001,2000,harsh,True
66,0.032679237117734225,0.09552909983693425,0.0,FOXN3,0,dense,0.001,2000,harsh,True
67,0.27012034009017677,9.315281985469173e-45,0.0,FOXP1,0,dense,0.001,2000,harsh,True
68,0.0,1.0,,FOXS1,0,dense,0.001,2000,harsh,True
69,0.0,1.0,,GATA1,0,dense,0.001,2000,harsh,True
70,0.10678536503669953,4.7305661970240065e-08,0.0,GATA2,0,dense,0.001,2000,harsh,False
71,0.1871104008058355,6.158692608013467e-22,0.0,GATA3,0,dense,0.001,2000,harsh,False
72,0.1659586074622178,1.5650171296932302e-17,0.0,GATA6,0,dense,0.001,2000,harsh,True
73,0.15238394764111907,5.430211067356539e-15,0.0,GRHL2,0,dense,0.001,2000,harsh,True
74,0.0,1.0,,GTF3C2,0,dense,0.001,2000,harsh,True
75,0.0,1.0,,H2AFZ,0,dense,0.001,2000,harsh,True
76,0.0,1.0,,HDAC2,0,dense,0.001,2000,harsh,True
77,0.0,1.0,,HDAC6,0,dense,0.001,2000,harsh,True
78,0.2157616532012386,8.553018406748295e-29,0.0,HES1,0,dense,0.001,2000,harsh,False
79,0.16066338639637873,1.6286877195247938e-16,0.0,HESX1,0,dense,0.001,2000,harsh,True
80,0.16402585363932834,3.713386206546285e-17,0.0,HEY1,0,dense,0.001,2000,harsh,True
81,0.0,1.0,,HMGA2,0,dense,0.001,2000,harsh,True
82,0.11197244274651046,1.0158158112348152e-08,0.0,HMGB2,0,dense,0.001,2000,harsh,True
83,0.1620034929977484,9.06941149850689e-17,0.0,HMGN1,0,dense,0.001,2000,harsh,True
84,0.0,1.0,,HMGXB4,0,dense,0.001,2000,harsh,True
85,0.0,1.0,,HNF1A,0,dense,0.001,2000,harsh,True
86,0.11418860428192132,5.152310118078936e-09,0.0,HNF4A,0,dense,0.001,2000,harsh,True
87,0.0,1.0,,HOPX,0,dense,0.001,2000,harsh,True
88,0.0,1.0,,HOXA10,0,dense,0.001,2000,harsh,True
89,0.0,1.0,,HOXA2,0,dense,0.001,2000,harsh,True
90,0.0,1.0,,HOXA3,0,dense,0.001,2000,harsh,True
91,0.11004698324989112,1.812994153900041e-08,0.0,HOXB3,0,dense,0.001,2000,harsh,True
92,0.0,1.0,,HOXC9,0,dense,0.001,2000,harsh,True
93,0.0,1.0,,HOXD10,0,dense,0.001,2000,harsh,True
94,0.1890384417730247,2.2934950054908286e-22,0.0,HOXD3,0,dense,0.001,2000,harsh,True
95,0.13099638113508513,1.9582604505295897e-11,1.0,ID1,0,dense,0.001,2000,harsh,True
96,0.2003009307490994,5.775678324807646e-25,1.0,ID3,0,dense,0.001,2000,harsh,True
97,0.28110636521102245,1.7800598809252702e-48,0.0,IKZF1,0,dense,0.001,2000,harsh,True
98,0.2601937098241935,1.5256898348860896e-41,0.0,IRF1,0,dense,0.001,2000,harsh,False
99,0.15340050522067075,3.5665493165671294e-15,0.0,IRF4,0,dense,0.001,2000,harsh,True
100,0.1824261232337224,6.493850682528603e-21,0.0,IRF5,0,dense,0.001,2000,harsh,True
101,0.12720517985053348,7.351003895654996e-11,0.0,IRX2,0,dense,0.001,2000,harsh,True
102,0.10882994269221495,2.601554126861553e-08,0.0,ISL1,0,dense,0.001,2000,harsh,True
103,0.0,1.0,,JAG1,0,dense,0.001,2000,harsh,True
104,0.2096945222349736,2.9603272039620206e-27,0.0,JUN,0,dense,0.001,2000,harsh,True
105,0.19379505655481885,1.9155816755011262e-23,0.0,JUNB,0,dense,0.001,2000,harsh,True
106,0.17637902937270775,1.2389105040069502e-19,0.0,KDM1A,0,dense,0.001,2000,harsh,True
107,0.0,1.0,,KDM5B,0,dense,0.001,2000,harsh,True
108,0.0,1.0,,KLF1,0,dense,0.001,2000,harsh,True
109,0.0,1.0,,KLF11,0,dense,0.001,2000,harsh,True
110,0.0,1.0,,KLF12,0,dense,0.001,2000,harsh,True
111,0.2756934976209519,1.2707922136250886e-46,0.0,KLF15,0,dense,0.001,2000,harsh,True
112,0.22857712767696273,3.3426094492772956e-32,0.0,KLF2,0,dense,0.001,2000,harsh,True
113,0.3144525518489056,7.759237063729107e-61,0.0,KLF4,0,dense,0.001,2000,harsh,False
114,0.1832276732092355,4.358912066493161e-21,0.0,KLF5,0,dense,0.001,2000,harsh,True
115,0.22962453633389296,1.7220727378390903e-32,0.0,KLF8,0,dense,0.001,2000,harsh,True
116,0.37210875147223504,2.786867506739601e-86,0.0,KLF9,0,dense,0.001,2000,harsh,True
117,0.0,1.0,,LHX2,0,dense,0.001,2000,harsh,True
118,0.2003733235140384,5.551129915034477e-25,1.0,LIN28A,0,dense,0.001,2000,harsh,True
119,0.0,1.0,,LMO1,0,dense,0.001,2000,harsh,True
120,0.0,1.0,,LMO2,0,dense,0.001,2000,harsh,True
121,0.0,1.0,,MAB21L2,0,dense,0.001,2000,harsh,True
