,spearman,spearmanp,perturbation,index,network,p,threshold_number,pruning,spearman_mean_across_methods,spearman_improvement,somePredictionRefused
0,0.0,1.0,ANKRD22,0,dense,0.001,2000,harsh,0.0035746795953051267,-0.0035746795953051267,True
1,-0.04435874975415796,0.2576668409420457,ARID3A,0,dense,0.001,2000,harsh,-0.04483284167290445,0.0004740919187464915,False
2,0.10498133436063066,0.007253812823451259,ARNT2,0,dense,0.001,2000,harsh,0.08554555164037322,0.019435782720257436,True
3,0.26714893058607697,3.917335034809789e-12,ASCL1,0,dense,0.001,2000,harsh,0.21273546356739845,0.054413467018678524,True
4,0.0890437046425568,0.02287158274307103,ASCL2,0,dense,0.001,2000,harsh,0.07889000012800602,0.010153704514550776,True
5,0.10974217881658313,0.004993580171462704,ATF1,0,dense,0.001,2000,harsh,0.10769929054067451,0.002042888275908622,False
6,0.13672780952780597,0.0004588469736424719,ATF3,0,dense,0.001,2000,harsh,0.13034704985241835,0.006380759675387621,False
7,0.18382654289926906,2.25812709277507e-06,ATOH1,0,dense,0.001,2000,harsh,0.1823659158853139,0.0014606270139551625,False
8,0.0,1.0,BATF,0,dense,0.001,2000,harsh,0.11430523068963298,-0.11430523068963298,True
9,0.0016321305743356536,0.9667957593117784,BATF3,0,dense,0.001,2000,harsh,0.00047166179064477953,0.001160468783690874,False
10,0.15609380167684428,6.182449058728153e-05,BCL6,0,dense,0.001,2000,harsh,0.12870212798325162,0.02739167369359266,True
11,0.19671013444047838,4.048606302413257e-07,BMP4,0,dense,0.001,2000,harsh,0.11801974635258264,0.07869038808789575,True
12,0.1504062865160535,0.00011428780022384686,BRF2,0,dense,0.001,2000,harsh,0.11850752978584425,0.031898756730209255,True
13,0.13398752706085432,0.0005973170878349931,CBX2,0,dense,0.001,2000,harsh,0.0784682903733857,0.05551923668746862,True
14,0.0,1.0,CCNE1,0,dense,0.001,2000,harsh,0.01446503000798205,-0.01446503000798205,True
15,0.0,1.0,CDYL,0,dense,0.001,2000,harsh,0.05037769762691484,-0.05037769762691484,True
16,0.39565912455064933,6.716013188008168e-26,CEBPA,0,dense,0.001,2000,harsh,0.3937824190965786,0.0018767054540707595,False
17,0.29934340409981286,5.513047024017072e-15,CEBPB,0,dense,0.001,2000,harsh,0.2968702466487139,0.0024731574510989396,False
18,0.3023671662419473,2.846863536041275e-15,CEBPD,0,dense,0.001,2000,harsh,0.3025499934897993,-0.0001828272478519577,False
19,0.0,1.0,CRY1,0,dense,0.001,2000,harsh,0.054459016672681285,-0.054459016672681285,True
20,0.0,1.0,CRY2,0,dense,0.001,2000,harsh,0.0626077616711774,-0.0626077616711774,True
21,0.21498241089330308,2.8878188034089482e-08,CTBP2,0,dense,0.001,2000,harsh,0.12836767095498097,0.08661473993832211,True
22,0.18741184568778477,1.4161631066425809e-06,CUX1,0,dense,0.001,2000,harsh,0.18466143298453325,0.00275041270325152,False
23,0.0,1.0,DEDD2,0,dense,0.001,2000,harsh,0.0,0.0,True
24,0.13768348146741588,0.0004180458344298752,DLX2,0,dense,0.001,2000,harsh,0.13807726101405696,-0.0003937795466410765,False
25,0.2892399834367004,4.7445535760937146e-14,DLX3,0,dense,0.001,2000,harsh,0.23105386273194156,0.058186120704758815,True
26,0.10573427033374368,0.006844295475418176,DLX5,0,dense,0.001,2000,harsh,0.10520699033707981,0.000527279996663868,False
27,0.046914437621762096,0.23122566885377238,DLX6,0,dense,0.001,2000,harsh,0.0367508724482732,0.010163565173488896,True
28,0.1317149669778492,0.0007406055144863016,DNMT3L,0,dense,0.001,2000,harsh,0.05053018641659803,0.08118478056125117,True
29,0.05526335462267194,0.15837300562169118,E2F1,0,dense,0.001,2000,harsh,0.05534567546637843,-8.23208437064904e-05,False
30,0.07878425670316551,0.044165785125346,E2F6,0,dense,0.001,2000,harsh,0.04532655078335781,0.0334577059198077,True
31,0.013882264373649004,0.7232767566724956,E2F7,0,dense,0.001,2000,harsh,0.013205124881940491,0.0006771394917085127,False
32,0.45816365304969575,3.34589343813432e-35,EBF1,0,dense,0.001,2000,harsh,0.4632644809046905,-0.005100827854994772,False
33,0.0,1.0,EGFLAM,0,dense,0.001,2000,harsh,0.025632129088215515,-0.025632129088215515,True
34,0.18400803673856264,2.2058926446399854e-06,EGR1,0,dense,0.001,2000,harsh,0.1835720264768189,0.00043601026174375224,False
35,0.24117246910958248,4.2797014475653665e-10,EGR2,0,dense,0.001,2000,harsh,0.24167983014461808,-0.0005073610350355973,False
36,0.2672408079516471,3.849221815607746e-12,EHF,0,dense,0.001,2000,harsh,0.2694472439968362,-0.0022064360451891085,False
37,0.1381474980433059,0.00039947853626264707,ELF1,0,dense,0.001,2000,harsh,0.14237425584788552,-0.004226757804579623,False
38,0.006938668130529181,0.8595302231920529,ELF2,0,dense,0.001,2000,harsh,0.00541175160094688,0.0015269165295823004,False
39,0.2703219104738013,2.129204450989466e-12,ELF4,0,dense,0.001,2000,harsh,0.27454172540839916,-0.0042198149345978875,False
40,0.30601933350516425,1.2681929343984155e-15,ELF5,0,dense,0.001,2000,harsh,0.30623082094195647,-0.0002114874367922237,False
41,0.1291745770175603,0.0009381186350473282,ELK3,0,dense,0.001,2000,harsh,0.12509136080793343,0.004083216209626872,False
42,0.0,1.0,ELL2,0,dense,0.001,2000,harsh,0.06411802295857996,-0.06411802295857996,True
43,0.020616586932600184,0.5989715920079779,EN1,0,dense,0.001,2000,harsh,0.018601409273600343,0.0020151776589998407,False
