pruning,network,spearman,spearmanp,index,p,threshold_number,spearman_mean_across_methods,spearman_improvement,somePredictionRefused
harsh,cellOracle,0.14921183792364756,0.09831191596311785,2.0,0.001,2000.0,0.14879603782558823,0.0004158000980593402,0.0
harsh,cellnet,0.14938275479262128,0.09811154130377503,4.0,0.001,2000.0,0.14879603782558823,0.0005867169670330535,0.0
harsh,dense,0.14921820371858713,0.09890619734928485,0.0,0.001,2000.0,0.14879603782558823,0.0004221658929988999,0.0
harsh,fantom5,0.1492930931849344,0.09877784723482055,8.0,0.001,2000.0,0.14879603782558823,0.0004970553593461819,0.0
harsh,random0.1,0.14939391871811816,0.09826873403715253,6.0,0.001,2000.0,0.14879603782558823,0.0005978808925299373,0.0
none,cellOracle,0.1481982363573671,0.09985993317711157,7.0,1.0,102313295.0,0.14879603782558823,-0.000597801468221135,0.0
none,cellnet,0.14927352721331114,0.0979011760462167,9.0,1.0,102313295.0,0.14879603782558823,0.0004774893877228986,0.0
none,dense,0.14802225335022742,0.1029506536894278,5.0,1.0,102313295.0,0.14879603782558823,-0.0007737844753608086,0.0
none,fantom5,0.14822021488416529,0.10216134625482369,3.0,1.0,102313295.0,0.14879603782558823,-0.0005758229414229301,0.0
none,random0.1,0.1477463381129028,0.10082301353071241,1.0,1.0,102313295.0,0.14879603782558823,-0.0010496997126854244,0.0
